formula,formation_energy,e_hull,density,volume,nsites,stability
Li2S,-1.503453288055556,0.0,1.673940199901922,45.57916017402562,3,1
Li2Se,-1.451676987465277,0.0,2.924458277403507,52.71669259653644,3,1
Li2Te,-1.178086924444443,0.0,3.400299879294002,69.09284373750016,3,1
Li3P7,-0.426096096083331,0.0,2.016029104493912,782.9438513326726,40,1
LiC,-0.099880555833332,0.0,1.369204979131098,45.96833740475323,4,1
LiH,-0.489362137708333,0.0,0.8143955033141881,16.207758213722748,2,1
LiN3,-0.205821525729167,0.0,1.931723590704999,42.087708451102685,4,1
LiP7,-0.190700947499999,0.0,2.189873519980373,1357.3671398103197,64,1
Lu2S3,-2.354043240354164,0.0,6.310200559334407,234.79907691597413,10,1
Lu2Se3,-2.148499361604166,0.0,7.26103247248484,536.7983550660795,20,1
Mg3As2,-0.78755513925,0.0,3.132694630713741,944.6147476461048,40,1
Mg3N2,-0.9422394225,0.0,2.73722024386655,489.827010464277,40,1
Mg3P2,-0.647706519857142,0.0,2.068073438608592,866.2922139668336,40,1
MgB7,-0.157891229375,0.0,2.636296109595186,251.90496067954192,32,1
MgH2,-0.2827190725,0.0,1.457555666854439,59.97280309933501,6,1
MgI2,-1.3037782916666671,0.0,4.263115800501802,108.32899783808094,3,1
MgS,-1.66198437625,0.0,2.649386380469676,35.33066670617066,2,1
MgSe,-1.474296713671875,0.0,3.260005132094054,105.19956856773544,4,1
MgSe2,-1.1332529465625,0.0,4.489727594922995,269.58582676896225,12,1
MgTe2,-0.849417595277775,0.0,5.214696303880582,356.0161089071634,12,1
MnBr2,-1.169033052643679,0.0,4.237394852087011,84.15411109132559,3,1
MnCl2,-1.58313891316092,0.0,2.918073685479806,71.61195211117794,3,1
MnF2,-2.966967116810346,0.0,4.015086403850772,153.74209755521997,12,1
MnF4,-2.396533066086208,0.0,3.697204650692276,470.4465202723201,40,1
MnI2,-0.7063810159770101,0.0,4.767267673406124,107.54303416765336,3,1
MoBr2,-1.046118486666666,0.0,4.635221919668818,1099.441327896964,36,1
MoCl2,-1.077223398611112,0.0,3.495750124880732,951.0552798406188,36,1
MoF3,-2.547664713749999,0.0,4.589391332934936,110.67040126955314,8,1
MoI2,-0.6431185194444441,0.0,5.168881205089096,1348.3113780215317,36,1
MoS2,-0.966142545208332,0.0,4.669644630696905,56.92135256789191,3,1
MoSe2,-0.749936842708334,0.0,6.512714079136082,129.4527726305449,6,1
NO2,-0.685685905,0.0,2.001559698678917,229.00320208951547,18,1
NO3,-0.56358408953125,0.0,1.8270775793722824,901.6502425680386,64,1
Na2O,-1.425738685919539,0.0,2.494753648201913,41.25395267113869,3,1
Na2O2,-1.2980963948563211,0.0,2.6929727082185853,144.24885606779526,12,1
Na2S,-1.269244534270833,0.0,1.889080802384308,68.60267970013784,3,1
Na2S5,-0.607518609508928,0.0,2.132525901252682,642.57460262411,28,1
Na2Se,-1.2695772096875,0.0,2.686924163065691,77.2135617348962,3,1
Na2Te,-1.127802620000001,0.0,3.005584104098432,95.90002973074064,3,1
Na3As7,-0.357265993125,0.0,3.601140324989667,2189.0797853155223,80,1
Na3P11,-0.298578826088434,0.0,2.132719233638486,1275.9125150296695,56,1
NaH,-0.292902834375,0.0,1.466045132012539,27.18138268611537,2,1
NaI,-1.450042413189654,0.0,3.732330356022161,66.68896277659789,2,1
